word,n,Year
hare rock san,6,1993
high density of,6,1993
in the modules,6,1993
invertebrates observed on,6,1993
island arch point,6,1993
island hare rock,6,1993
island rodes reef,6,1993
kelletia kelletii were,6,1993
landing cove anacapa,6,1993
male and female,6,1993
miguel island hare,6,1993
miscellaneous invertebrates observed,6,1993
monitoring began at,6,1993
national park service,6,1993
observed on rpcs,6,1993
observed with wasting,6,1993
of the arms,6,1993
of the kelp,6,1993
of the m,6,1993
on santa cruz,6,1993
on the north,6,1993
on the tops,6,1993
paralabrax clathratus were,6,1993
park kelp forest,6,1993
pulcher were abundant,6,1993
pycnopodia helianthoides were,6,1993
pyrifera densities were,6,1993
recorded at this,6,1993
recruitment modules arms,6,1993
rosa island rodes,6,1993
s franciscanus were,6,1993
strongylocentrotus franciscanus search,6,1993
strongylocentrotus franciscanus were,6,1993
tests were common,6,1993
the bottom and,6,1993
the north end,6,1993
the s franciscanus,6,1993
the transect and,6,1993
the transect the,6,1993
undosa were common,6,1993
wasting syndrome was,6,1993
were abundant with,6,1993
were common covering,6,1993
were common with,6,1993
with wasting syndrome,6,1993
a decrease from,5,1993
about the same,5,1993
abundant and diverse,5,1993
and a large,5,1993
and had a,5,1993
aplysia californica were,5,1993
arch point santa,5,1993
arms max size,5,1993
as abundant as,5,1993
barbara island arch,5,1993
bryozoans were abundant,5,1993
canopy cover over,5,1993
canopy cover was,5,1993
chilensis heights search,5,1993
chilensis widths lophogorgia,5,1993
common with a,5,1993
corrugata shells were,5,1993
cover over the,5,1993
cruz island site,5,1993
department of fish,5,1993
depth of about,5,1993
distributions astraea undosa,5,1993
forest monitoring program,5,1993
frequency distributions astraea,5,1993
from last year,5,1993
haliotis corrugata from,5,1993
haliotis rufescens were,5,1993
having densities of,5,1993
in the kelp,5,1993
its highest coverage,5,1993
juvenile chromis punctipinnis,5,1993
lion santa barbara,5,1993
m pyrifera covered,5,1993
megathura crenulata from,5,1993
method band transect,5,1993
miniata were abundant,5,1993
national park kelp,5,1993
not as abundant,5,1993
of m pyrifera,5,1993
of trachurus symmetricus,5,1993
on rpcs this,5,1993
on rpcs were,5,1993
over the transect,5,1993
oxyjulis californica and,5,1993
oxyjulis californica were,5,1993
parastichopus parvimensis were,5,1993
percent cover of,5,1993
point santa barbara,5,1993
present on the,5,1993
pulcher were common,5,1993
purpuratus were common,5,1993
random point contacts,5,1993
recorded at its,5,1993
red algae was,5,1993
rpcs this category,5,1993
sea lion santa,5,1993
sea urchins s,5,1993
sea urchins were,5,1993
search method band,5,1993
small adult m,5,1993
small kelp forest,5,1993
some of the,5,1993
syndrome was observed,5,1993
the arms were,5,1993
the bottom bryozoans,5,1993
the highest coverage,5,1993
the kelp canopy,5,1993
understory algae was,5,1993
were abundant covering,5,1993
were abundant having,5,1993
were all common,5,1993
were common but,5,1993
were found on,5,1993
were more abundant,5,1993
were recorded at,5,1993
widths lophogorgia chilensis,5,1993
a low density,4,1993
a small school,4,1993
a thick canopy,4,1993
abundant and consisted,4,1993
abundant and had,4,1993
abundant as in,4,1993
abundant this year,4,1993
abundant with a,4,1993
adult paralabrax clathratus,4,1993
anchorage santa cruz,4,1993
and amphipod tube,4,1993
and arch point,4,1993
and consisted mostly,4,1993
and lytechinus anamesus,4,1993
and patiria miniata,4,1993
and pycnopodia helianthoides,4,1993
appears to have,4,1993
arms hinnites giganteus,4,1993
astraea undosa from,4,1993
astraea undosa search,4,1993
at a density,4,1993
at its highest,4,1993
at pelican bay,4,1993
at santa cruz,4,1993
balanophyllia elagans were,4,1993
bay santa cruz,4,1993
bryozoans were common,4,1993
california department of,4,1993
canyon santa barbara,4,1993
cat canyon santa,4,1993
chromis punctipinnis were,4,1993
common at a,4,1993
common name scientific,4,1993
cover of m,4,1993
cover was estimated,4,1993
cruz island and,4,1993
cruz island temperature,4,1993
davis g e,4,1993
distributions haliotis rufescens,4,1993
distributions lophogorgia chilensis,4,1993
fish and invertebrates,4,1993
for size frequencies,4,1993
forest monitoring stations,4,1993
franciscanus were abundant,4,1993
frequency distributions lophogorgia,4,1993
fry's harbor santa,4,1993
gull island and,4,1993
h corrugata shells,4,1993
h corrugata were,4,1993
had densities of,4,1993
haliotis rufescens from,4,1993
harbor santa cruz,4,1993
highest coverage recorded,4,1993
highest coverage since,4,1993
hobotemptm temperature loggers,4,1993
in previous years,4,1993
island south santa,4,1993
location johnson's lee,4,1993
lytechinus anamesus were,4,1993
m2 most of,4,1993
m2 patiria miniata,4,1993
measured in the,4,1993
miniata were common,4,1993
mm were found,4,1993
monitoring channel islands,4,1993
name scientific name,4,1993
national park california,4,1993
near the transect,4,1993
of macrocystis pyrifera,4,1993
of s franciscanus,4,1993
of strongylocentrotus purpuratus,4,1993
of the sites,4,1993
on the bottom,4,1993
on the northern,4,1993
on the reef,4,1993
one of the,4,1993
of the bottom,99,1994
a density of,46,1994
of the transect,42,1994
channel islands national,37,1994
kelp forest monitoring,37,1994
islands national park,33,1994
santa cruz island,27,1994
s purpuratus were,24,1994
with a density,24,1994
sp ,23,1994
most of the,22,1994
adult and juvenile,21,1994
along the transect,21,1994
juvenile m pyrifera,21,1994
santa barbara island,20,1994
at this site,19,1994
mature kelp forest,19,1994
the bottom respectively,19,1994
in the arms,18,1994
san miguel island,18,1994
and s purpuratus,17,1994
franciscanus and s,17,1994
common with a,16,1994
strongylocentrotus franciscanus and,16,1994
the bottom and,16,1994
the most common,16,1994
was estimated at,16,1994
were common with,16,1994
having a density,15,1994
santa rosa island,15,1994
pisaster giganteus were,14,1994
were abundant and,14,1994
end of the,13,1994
purpuratus were abundant,13,1994
were common covering,13,1994
were found in,13,1994
algae was abundant,12,1994
canopy cover was,12,1994
found in the,12,1994
most common miscellaneous,12,1994
this category covered,12,1994
adult m pyrifera,11,1994
aniar anicc anilc,11,1994
anicc anilc sbisesl,11,1994
anilc sbisesl sbiap,11,1994
common miscellaneous invertebrates,11,1994
consisted mostly of,11,1994
forest monitoring species,11,1994
kelp forest with,11,1994
list page b,11,1994
location smiwl smihr,11,1994
m pyrifera plants,11,1994
macrocystis pyrifera canopy,11,1994
mean size for,11,1994
monitoring species list,11,1994
of fish and,11,1994
sbisesl sbiap sbicc,11,1994
scifh scipb scisa,11,1994
scigis scifh scipb,11,1994
scipb scisa sciyb,11,1994
scisa sciyb aniar,11,1994
sciyb aniar anicc,11,1994
sea urchin wasting,11,1994
smihr srijln srijls,11,1994
smiwl smihr srijln,11,1994
species list page,11,1994
srijln srijls srirr,11,1994
srijls srirr scigis,11,1994
srirr scigis scifh,11,1994
the m pyrifera,11,1994
the mean size,11,1994
abundant in the,10,1994
and consisted mostly,10,1994
bottom and consisted,10,1994
cover was estimated,10,1994
crustose coralline algae,10,1994
on band transects,10,1994
patiria miniata and,10,1994
size frequency measurements,10,1994
the transect and,10,1994
their densities were,10,1994
univ calif santa,10,1994
urchin wasting syndrome,10,1994
were all common,10,1994
were common having,10,1994
were sampled for,10,1994
with wasting syndrome,10,1994
abundant on the,9,1994
abundant with a,9,1994
and juvenile m,9,1994
common having a,9,1994
common in the,9,1994
female semicossyphus pulcher,9,1994
fish and game,9,1994
giganteus were common,9,1994
half of the,9,1994
haliotis corrugata were,9,1994
in the kelp,9,1994
invertebrates on rpcs,9,1994
m pyrifera was,9,1994
miscellaneous invertebrates on,9,1994
miscellaneous red algae,9,1994
on the bottom,9,1994
size for the,9,1994
were abundant in,9,1994
were abundant on,9,1994
were abundant with,9,1994
were common in,9,1994
were common on,9,1994
and pisaster giganteus,8,1994
astraea undosa were,8,1994
californica ,8,1994
californica were common,8,1994
forest with a,8,1994
hinnites giganteus were,8,1994
mean size of,8,1994
miniata and pisaster,8,1994
of the m,8,1994
patiria miniata were,8,1994
pyrifera canopy cover,8,1994
rock san miguel,8,1994
sampled for all,8,1994
the kelp forest,8,1994
was recorded at,8,1994
were observed with,8,1994
were the most,8,1994
a mean size,7,1994
articulated coralline algae,7,1994
artificial recruitment modules,7,1994
as well as,7,1994
calif santa barbara,7,1994
common along the,7,1994
common on the,7,1994
coralline algae was,7,1994
corrugata were found,7,1994
franciscanus were common,7,1994
gull island south,7,1994
inshore of the,7,1994
johnson's lee north,7,1994
m pyrifera were,7,1994
observed with wasting,7,1994
of s purpuratus,7,1994
of the arms,7,1994
on rpcs this,7,1994
parastichopus parvimensis were,7,1994
parvimensis were common,7,1994
rpcs this category,7,1994
s franciscanus were,7,1994
semicossyphus pulcher were,7,1994
seven arms were,7,1994
status mature kelp,7,1994
syndrome was observed,7,1994
the kelp canopy,7,1994
was abundant and,7,1994
was abundant covering,7,1994
was observed in,7,1994
were also common,7,1994
were common along,7,1994
were common and,7,1994
were less than,7,1994
were present in,7,1994
were relatively uncommon,7,1994
with a mean,7,1994
and female semicossyphus,6,1994
and the mean,6,1994
arms were sampled,6,1994
bay santa cruz,6,1994
coralline algae covered,6,1994
cove anacapa island,6,1994
cypraea spadicea were,6,1994
encrusting coralline algae,6,1994
fish were abundant,6,1994
had a density,6,1994
in january canopy,6,1994
in the shallow,6,1994
johnson's lee south,6,1994
lytechinus anamesus were,6,1994
m pyrifera densities,6,1994
macrocystis pyrifera plants,6,1994
near the transect,6,1994
of macrocystis pyrifera,6,1994
on santa cruz,6,1994
pelican bay santa,6,1994
pisaster giganteus and,6,1994
pycnopodia helianthoides were,6,1994
pyrifera plants were,6,1994
sea lion rookery,6,1994
sea urchin barrens,6,1994
southeast sea lion,6,1994
strongylocentrotus franciscanus were,6,1994
strongylocentrotus purpuratus and,6,1994
the seven arms,6,1994
the temperature logger,6,1994
the worm pista,6,1994
were abundant having,6,1994
were found on,6,1994
worm pista elongata,6,1994
abundant having a,5,1994
anamesus were observed,5,1994
and l farlowii,5,1994
and s franciscanus,5,1994
and santa rosa,5,1994
and the worm,5,1994
appeared to be,5,1994
calif dept of,5,1994
common strongylocentrotus franciscanus,5,1994
cruz island depth,5,1994
cruz island site,5,1994
dept of fish,5,1994
east end of,5,1994
forest macrocystis pyrifera,5,1994
forest monitoring program,5,1994
found on band,5,1994
haliotis rufescens were,5,1994
high density of,5,1994
january canopy cover,5,1994
juveniles ,5,1994
kelp forest macrocystis,5,1994
m pyrifera appeared,5,1994
male and female,5,1994
miniata pisaster giganteus,5,1994
mm and the,5,1994
of the plants,5,1994
overall fish were,5,1994
overall this site,5,1994
patiria miniata pisaster,5,1994
present along the,5,1994
pyrifera densities were,5,1994
s purpuratus densities,5,1994
santa rosa islands,5,1994
some of the,5,1994
the bottom miscellaneous,5,1994
the bottom the,5,1994
the bottom was,5,1994
the east end,5,1994
the temperature loggers,5,1994
the tops of,5,1994
the transect was,5,1994
the west end,5,1994
were abundant covering,5,1994
were common small,5,1994
were observed on,5,1994
were present along,5,1994
west end of,5,1994
with sea urchin,5,1994
a total of,4,1994
about the same,4,1994
abundant and small,4,1994
abundant at this,4,1994
abundant than in,4,1994
algae decreased to,4,1994
all indicator species,4,1994
along the entire,4,1994
amphipod tube mats,4,1994
anacapa and santa,4,1994
anamesus were common,4,1994
and astrangia lajollaensis,4,1994
and crustose coralline,4,1994
and had a,4,1994
and none were,4,1994
and pycnopodia helianthoides,4,1994
and small the,4,1994
and their eggs,4,1994
aplysia californica were,4,1994
arms at the,4,1994
arms this year,4,1994
be dominated by,4,1994
canopy cover over,4,1994
castle rock san,4,1994
chromis punctipinnis oxyjulis,4,1994
common name scientific,4,1994
continued to be,4,1994
counted on quadrats,4,1994
cover over the,4,1994
coverage at this,4,1994
covered with encrusting,4,1994
davis g e,4,1994
day cruise in,4,1994
density was recorded,4,1994
department of fish,4,1994
disease was observed,4,1994
e arborea and,4,1994
eggs were common,4,1994
epiphytes growing on,4,1994
few epiphytes growing,4,1994
for all indicator,4,1994
found with a,4,1994
franciscanus density was,4,1994
giganteus and pycnopodia,4,1994
giganteus were abundant,4,1994
giganteus were uncommon,4,1994
growing on the,4,1994
hare rock san,4,1994
high densities of,4,1994
highest recorded coverage,4,1994
hinnites giganteus and,4,1994
hypsypops rubicundus were,4,1994
in appendix a,4,1994
inermis and their,4,1994
kushner et al,4,1994
l anamesus were,4,1994
lee north santa,4,1994
location johnson's lee,4,1994
m pyrifera covered,4,1994
m south of,4,1994
miniata were abundant,4,1994
miniata were common,4,1994
miscellaneous brown algae,4,1994
miscellaneous invertebrates covered,4,1994
mm strongylocentrotus franciscanus,4,1994
monitoring channel islands,4,1994
name scientific name,4,1994
national marine sanctuary,4,1994
national park california,4,1994
national park service,4,1994
navanax inermis and,4,1994
none were observed,4,1994
north santa rosa,4,1994
observed along the,4,1994
of brown algae,4,1994
on anacapa island,4,1994
open kelp forest,4,1994
opistobranch navanax inermis,4,1994
over the transect,4,1994
oxyjulis californica were,4,1994
paralabrax clathratus were,4,1994
plants appeared healthy,4,1994
punctipinnis oxyjulis californica,4,1994
purple sea urchin,4,1994
purpuratus and s,4,1994
purpuratus densities were,4,1994
purpuratus tests were,4,1994
purpuratus were common,4,1994
recorded coverage at,4,1994
s ,4,1994
s purpuratus and,4,1994
s purpuratus tests,4,1994
s purpuratus was,4,1994
sea urchin barren,4,1994
sea urchins were,4,1994
small the mean,4,1994
spp ,4,1994
syndrome were observed,4,1994
temperature logger housing,4,1994
tests were common,4,1994
the adult m,4,1994
the bottom bryozoans,4,1994
the channel islands,4,1994
the entire transect,4,1994
the opistobranch navanax,4,1994
the transect were,4,1994
their eggs were,4,1994
their sizes were,4,1994
to be dominated,4,1994
transect was estimated,4,1994
uncommon along the,4,1994
undosa were abundant,4,1994
was covered with,4,1994
wasting syndrome was,4,1994
were common strongylocentrotus,4,1994
were common under,4,1994
were deployed at,4,1994
were found with,4,1994
were relatively abundant,4,1994
were uncommon and,4,1994
were used to,4,1994
young kelp forest,4,1994
 cadlina,3,1994
 tealia,3,1994
a densities of,3,1994
a mature kelp,3,1994
abundant and consisted,3,1994
abundant and covered,3,1994
admiral's reef anacapa,3,1994
affinis top smelt,3,1994
algae were abundant,3,1994
algae were common,3,1994
all index species,3,1994
all of the,3,1994
all seven arms,3,1994
along the line,3,1994
anacapa island and,3,1994
anacapa island depth,3,1994
anacapa island site,3,1994
anchorage on santa,3,1994
anchorage santa cruz,3,1994
and all were,3,1994
and consisted primarily,3,1994
and juveniles were,3,1994
and m californica,3,1994
and most of,3,1994
and remained about,3,1994
appeared unhealthy having,3,1994
arch point santa,3,1994
articulated and crustose,3,1994
astrangia lajollaensis were,3,1994
at all sites,3,1994
at pelican bay,3,1994
at santa barbara,3,1994
at this location,3,1994
at two and,3,1994
atherinops affinis top,3,1994
aurantia were abundant,3,1994
b s california,3,1994
balanophyllia elegans and,3,1994
balanophyllia elegans were,3,1994
band transects and,3,1994
barbara island depth,3,1994
barbara island site,3,1994
between june and,3,1994
bottom adult and,3,1994
bottom bryozoans were,3,1994
bryozoans were abundant,3,1994
calif santa cruz,3,1994
california channel islands,3,1994
california department of,3,1994
californica and l,3,1994
canyon santa barbara,3,1994
cat canyon santa,3,1994
cathedral cove anacapa,3,1994
channel islands nps,3,1994
common adult and,3,1994
common and covered,3,1994
consisted primarily of,3,1994
continues to be,3,1994
coryphopterus nicholsii were,3,1994
cove on anacapa,3,1994
cystoseira spp covered,3,1994
data was sent,3,1994
decreased at two,3,1994
density of macrocystis,3,1994
deployed at all,3,1994
e ,3,1994
each site is,3,1994
east side of,3,1994
efforts and results,3,1994
eisenia arborea was,3,1994
elegans and astrangia,3,1994
elongata this category,3,1994
elongata were the,3,1994
embiotoca jacksoni and,3,1994
except sea urchins,3,1994
farlowii densities were,3,1994
few s purpuratus,3,1994
fish and invertebrates,3,1994
for all index,3,1994
for each site,3,1994
for index species,3,1994
for size frequency,3,1994
for the first,3,1994
forest monitoring sites,3,1994
found on the,3,1994
found their sizes,3,1994
franciscanus were abundant,3,1994
fry's harbor santa,3,1994
general search method,3,1994
giant spined sea,3,1994
had densities of,3,1994
harbor santa cruz,3,1994
has changed little,3,1994
having densities of,3,1994
hinnites giganteus found,3,1994
hydroids and the,3,1994
in channel islands,3,1994
in january the,3,1994
increased at five,3,1994
is listed at,3,1994
island admiral's reef,3,1994
island south santa,3,1994
islands national marine,3,1994
islands nps vip,3,1994
january and september,3,1994
kelp macrocystis pyrifera,3,1994
l farlowii densities,3,1994
landing cove anacapa,3,1994
large numbers of,3,1994
ledge san miguel,3,1994
lee south santa,3,1994
less abundant than,3,1994
lion santa barbara,3,1994
listed at the,3,1994
m pyrifera coverage,3,1994
m pyrifera density,3,1994
m2 compared to,3,1994
m2 hinnites giganteus,3,1994
m2 m pyrifera,3,1994
m2 respectively the,3,1994
many of the,3,1994
megathura crenulata were,3,1994
miscellaneous red and,3,1994
mm cypraea spadicea,3,1994
mm haliotis corrugata,3,1994
mm s purpuratus,3,1994
mm were found,3,1994
monitoring efforts and,3,1994
monitoring program was,3,1994
most were small,3,1994
mysids were common,3,1994
national oceanographic and,3,1994
nicholsii were common,3,1994
channel islands national,105,1995
kelp forest monitoring,105,1995
islands national park,103,1995
of the transect,102,1995
of the bottom,91,1995
along the transect,69,1995
park kelp forest,59,1995
national park kelp,58,1995
a density of,51,1995
with a density,51,1995
end of the,42,1995
santa cruz island,31,1995
at this site,30,1995
sp ,30,1995
were common with,29,1995
common with a,28,1995
santa barbara island,27,1995
were moderately abundant,23,1995
half of the,22,1995
s purpuratus were,22,1995
santa rosa island,22,1995
in the arms,21,1995
and s purpuratus,20,1995
the number of,20,1995
common along the,19,1995
m pyrifera plants,19,1995
present along the,19,1995
were all common,19,1995
franciscanus and s,18,1995
the most common,18,1995
abundant along the,17,1995
common on the,17,1995
abundant on the,16,1995
all indicator species,16,1995
for all indicator,16,1995
mature kelp forest,16,1995
were present along,16,1995
adult and juvenile,15,1995
pisaster giganteus were,15,1995
the arms were,15,1995
the entire transect,15,1995
were common along,15,1995
were sampled for,15,1995
abundant with a,14,1995
all of the,14,1995
encrusting coralline algae,14,1995
most common miscellaneous,14,1995
per arm was,14,1995
sampled for all,14,1995
strongylocentrotus franciscanus and,14,1995
the kelp forest,14,1995
was recorded at,14,1995
were abundant with,14,1995
adult m pyrifera,13,1995
female semicossyphus pulcher,13,1995
for this site,13,1995
new stainless steel,13,1995
the transect and,13,1995
their density was,13,1995
this category covered,13,1995
were common on,13,1995
anar ancc anlc,12,1995
ancc anlc sbsesl,12,1995
anlc sbsesl sbap,12,1995
common miscellaneous invertebrates,12,1995
forest monitoring species,12,1995
invertebrates on rpcs,12,1995
list page i,12,1995
location smwl smhr,12,1995
miscellaneous invertebrates on,12,1995
monitoring species list,12,1995
on band transects,12,1995
san miguel island,12,1995
sbsesl sbap sbcat,12,1995
scfh scpb scsa,12,1995
scgi scfh scpb,12,1995
scpb scsa scyb,12,1995
scsa scyb anar,12,1995
scyb anar ancc,12,1995
size frequency measurements,12,1995
smhr srjlno srjlno,12,1995
smwl smhr srjlno,12,1995
southeast sea lion,12,1995
species list page,12,1995
srjlno srjlno srrr,12,1995
srjlno srrr scgi,12,1995
srrr scgi scfh,12,1995
the bottom respectively,12,1995
the transect the,12,1995
were abundant along,12,1995
were abundant and,12,1995
were common in,12,1995
juvenile m pyrifera,11,1995
number per arm,11,1995
of the arms,11,1995
on the tops,11,1995
pyrifera plants were,11,1995
sea urchin barrens,11,1995
the tops of,11,1995
brass new stainless,10,1995
californica were common,10,1995
much of the,10,1995
old brass new,10,1995
patiria miniata and,10,1995
s purpuratus and,10,1995
side of the,10,1995
the bottom the,10,1995
the north end,10,1995
the west end,10,1995
their densities were,10,1995
this is the,10,1995
were used to,10,1995
west end of,10,1995
with a mean,10,1995
along the entire,9,1995
and pisaster giganteus,9,1995
artificial recruitment modules,9,1995
east of the,9,1995
for size frequencies,9,1995
giganteus were common,9,1995
kelp forest with,9,1995
lytechinus anamesus were,9,1995
macrocystis pyrifera canopy,9,1995
on rpcs were,9,1995
on the bottom,9,1995
out in the,9,1995
parastichopus parvimensis were,9,1995
reef anacapa island,9,1995
semicossyphus pulcher were,9,1995
than last year,9,1995
the bottom and,9,1995
a mean size,8,1995
abundant and diverse,8,1995
algae was abundant,8,1995
aplysia californica were,8,1995
are in appendix,8,1995
around the transect,8,1995
astraea undosa were,8,1995
common in the,8,1995
coralline algae covered,8,1995
during band transects,8,1995
found in the,8,1995
in the open,8,1995
kelletia kelletii were,8,1995
large and small,8,1995
mean size of,8,1995
miniata and pisaster,8,1995
miscellaneous red algae,8,1995
most of the,8,1995
number tags were,8,1995
of the sites,8,1995
patiria miniata were,8,1995
reef santa rosa,8,1995
rodes reef santa,8,1995
s franciscanus and,8,1995
shells were collected,8,1995
size frequency distributions,8,1995
stainless steel tags,8,1995
the transect their,8,1995
to the surface,8,1995
tops of rocks,8,1995
two of the,8,1995
was estimated at,8,1995
were abundant in,8,1995
were also common,8,1995
were common and,8,1995
were common but,8,1995
anamesus were common,7,1995
are listed below,7,1995
arms were sampled,7,1995
brass tags new,7,1995
brought to the,7,1995
common with densities,7,1995
confined to crevices,7,1995
coryphopterus nicholsii were,7,1995
cypraea spadicea were,7,1995
density was recorded,7,1995
forest monitoring program,7,1995
group of arms,7,1995
gull island south,7,1995
high density of,7,1995
hinnites giganteus were,7,1995
lophogorgia chilensis were,7,1995
m pyrifera were,7,1995
megathura crenulata were,7,1995
nicholsii were common,7,1995
north end of,7,1995
of calif santa,7,1995
of fish and,7,1995
old brass tags,7,1995
one of the,7,1995
parvimensis were common,7,1995
pyrifera canopy cover,7,1995
recorded at this,7,1995
s franciscanus were,7,1995
sea urchins were,7,1995
tags new stainless,7,1995
the east end,7,1995
the transect juvenile,7,1995
the transect were,7,1995
this site has,7,1995
to the transect,7,1995
university of calif,7,1995
was dominated by,7,1995
were more abundant,7,1995
were observed on,7,1995
with densities of,7,1995
with wasting syndrome,7,1995
a mature kelp,6,1995
abundant in the,6,1995
abundant than last,6,1995
and ophiothrix spiculata,6,1995
and s franciscanus,6,1995
appear to be,6,1995
appeared to be,6,1995
articulated coralline algae,6,1995
attached to the,6,1995
bryozoans combined covered,6,1995
coralline algae was,6,1995
counted on quadrats,6,1995
cove anacapa island,6,1995
east end of,6,1995
except sea urchins,6,1995
fish and game,6,1995
harbor santa cruz,6,1995
high densities of,6,1995
island was dominated,6,1995
less abundant than,6,1995
lower than the,6,1995
m pyrifera was,6,1995
m2 this is,6,1995
male and female,6,1995
mean number per,6,1995
near the transect,6,1995
new stainless old,6,1995
number of strongylocentrotus,6,1995
observed along the,6,1995
of strongylocentrotus franciscanus,6,1995
of the kelp,6,1995
only one was,6,1995
open area with,6,1995
purpuratus and ophiothrix,6,1995
purpuratus were abundant,6,1995
purpuratus were common,6,1995
s ,6,1995
sea lion rookery,6,1995
several of the,6,1995
site has changed,6,1995
spadicea were common,6,1995
stainless old brass,6,1995
status mature kelp,6,1995
temperature loggers were,6,1995
the bottom on,6,1995
the highest density,6,1995
the low lying,6,1995
the m pyrifera,6,1995
the mean size,6,1995
the thread rod,6,1995
the transect but,6,1995
thread rod was,6,1995
transect with a,6,1995
uncommon along the,6,1995
were abundant on,6,1995
were common covering,6,1995
were found in,6,1995
were out in,6,1995
x channel islands,6,1995
yellowbanks santa cruz,6,1995
 sebastes,5,1995
a depth of,5,1995
a high density,5,1995
abalone shells were,5,1995
admiral’s reef anacapa,5,1995
adult chromis punctipinnis,5,1995
anchorage santa cruz,5,1995
and are listed,5,1995
and astrangia lajollaensis,5,1995
and female semicossyphus,5,1995
and none were,5,1995
appeared similar to,5,1995
arch point santa,5,1995
as abundant as,5,1995
barrens with a,5,1995
both s purpuratus,5,1995
calif santa barbara,5,1995
californica were abundant,5,1995
canopy cover was,5,1995
chromis punctipinnis were,5,1995
consisted mostly of,5,1995
corrugata was found,5,1995
cruz island depth,5,1995
davis g e,5,1995
density of strongylocentrotus,5,1995
dominated by strongylocentrotus,5,1995
fish were abundant,5,1995
found on band,5,1995
from the transect,5,1995
h corrugata were,5,1995
haliotis corrugata was,5,1995
haliotis rufescens were,5,1995
hare rock san,5,1995
in the low,5,1995
indicator species except,5,1995
is the highest,5,1995
it appears that,5,1995
johnson’s lee north,5,1995
johnson’s lee south,5,1995
juvenile sebastes spp,5,1995
m2 aplysia californica,5,1995
mean size increased,5,1995
meters east of,5,1995
more abundant on,5,1995
much of this,5,1995
national park service,5,1995
new thread rod,5,1995
observed on band,5,1995
observed on quadrats,5,1995
of red algae,5,1995
of s purpuratus,5,1995
of strongylocentrotus purpuratus,5,1995
of the reef,5,1995
off the transect,5,1995
on the north,5,1995
paralabrax clathratus were,5,1995
part of the,5,1995
point santa barbara,5,1995
purple sea urchins,5,1995
purpuratus purple sea,5,1995
pycnopodia helianthoides were,5,1995
quadrats were used,5,1995
rare along the,5,1995
red algae and,5,1995
red algae was,5,1995
rock san miguel,5,1995
scorpion anchorage santa,5,1995
sea urchin wasting,5,1995
sebastes spp were,5,1995
shells were found,5,1995
similar to last,5,1995
southeastern half of,5,1995
sparse kelp forest,5,1995
species except sea,5,1995
spirobranchus spinosus and,5,1995
stainless steel number,5,1995
status strongylocentrotus purpuratus,5,1995
steel number tags,5,1995
stowawaytm temperature loggers,5,1995
strongylocentrotus purpuratus barrens,5,1995
tags were placed,5,1995
technical report chis,5,1995
than the last,5,1995
the arms the,5,1995
the five arms,5,1995
the number per,5,1995
the seven arms,5,1995
the southeastern half,5,1995
the temperature logger,5,1995
the temperature loggers,5,1995
the transect there,5,1995
the transect was,5,1995
the transect where,5,1995
the transect with,5,1995
to last year,5,1995
top of the,5,1995
was abundant covering,5,1995
was common covering,5,1995
wasting syndrome was,5,1995
were brought to,5,1995
were counted on,5,1995
were covered with,5,1995
were dominated by,5,1995
were placed on,5,1995
were relatively abundant,5,1995
were relatively common,5,1995
were relatively uncommon,5,1995
with a moderate,5,1995
a total of,4,1995
adult paralabrax clathratus,4,1995
alloclinus holderi were,4,1995
along the bottom,4,1995
and brown algae,4,1995
and diverse covering,4,1995
and only one,4,1995
and small adult,4,1995
and southeast sea,4,1995
and the mean,4,1995
and were probably,4,1995
annual report technical,4,1995
arch point and,4,1995
area with a,4,1995
areas around the,4,1995
arms and are,4,1995
arms at this,4,1995
arms were repaired,4,1995
around the island,4,1995
as well as,4,1995
at santa barbara,4,1995
balanophyllia elegans and,4,1995
barbara island and,4,1995
barrens this site,4,1995
bay santa cruz,4,1995
below old brass,4,1995
between june and,4,1995
both large and,4,1995
bottom the most,4,1995
brown and red,4,1995
corrugata were found,4,1995
cover was estimated,4,1995
cystoseira spp was,4,1995
deeper side of,4,1995
dense understory of,4,1995
difficult to see,4,1995
eisenia arborea was,4,1995
embiotoca jacksoni and,4,1995
except for the,4,1995
filamentous red algae,4,1995
forest macrocystis pyrifera,4,1995
forest monitoring data,4,1995
forest monitoring design,4,1995
forest monitoring handbook,4,1995
forest with a,4,1995
found during band,4,1995
found the number,4,1995
found this year,4,1995
frequency measurements were,4,1995
growing epiphytically on,4,1995
h rufescens shells,4,1995
halichoeres semicinctus were,4,1995
highest density recorded,4,1995
hypsypops rubicundus were,4,1995
in the kelp,4,1995
indicator species the,4,1995
inshore of the,4,1995
island gull island,4,1995
island johnson’s lee,4,1995
johnson's lee north,4,1995
june and september,4,1995
juvenile hypsypops rubicundus,4,1995
juvenile macrocystis pyrifera,4,1995
juvenile s purpuratus,4,1995
kelletii were common,4,1995
kelp forest macrocystis,4,1995
last two years,4,1995
lee north santa,4,1995
lion santa barbara,4,1995
location johnson's lee,4,1995
location yellowbanks santa,4,1995
long term ecological,4,1995
low lying areas,4,1995
m2 strongylocentrotus franciscanus,4,1995
m2 the highest,4,1995
macrocystis pyrifera plants,4,1995
max shell length,4,1995
miniata were abundant,4,1995
moderately abundant along,4,1995
moderately abundant and,4,1995
moderately abundant in,4,1995
monitoring channel islands,4,1995
monitoring design review,4,1995
national park california,4,1995
national park vip,4,1995
